Vuelta: 0.209670952 segundos;	Tiempo: 0.209673052
Vuelta: 0.339385584 segundos;	Tiempo: 0.551745112
Vuelta: 0.519276798 segundos;	Tiempo: 1.071090336
Vuelta: 0.702310334 segundos;	Tiempo: 1.773462271
Vuelta: 0.862679482 segundos;	Tiempo: 2.636253541
Vuelta: 0.992651144 segundos;	Tiempo: 3.629029993
Vuelta: 1.264668719 segundos;	Tiempo: 4.893760756
Vuelta: 1.646021049 segundos;	Tiempo: 6.540037074
Vuelta: 1.615156756 segundos;	Tiempo: 8.15534657
Vuelta: 1.772768909 segundos;	Tiempo: 9.928212122
Vuelta: 1.995100916 segundos;	Tiempo: 11.923389053
Vuelta: 2.121086004 segundos;	Tiempo: 14.044606938
Vuelta: 2.499079083 segundos;	Tiempo: 16.543751137
Vuelta: 2.594516628 segundos;	Tiempo: 19.138329292
Vuelta: 2.80262337 segundos;	Tiempo: 21.941075138
Vuelta: 2.907266678 segundos;	Tiempo: 24.848402312
Vuelta: 3.155773629 segundos;	Tiempo: 28.004249045
Vuelta: 3.298824593 segundos;	Tiempo: 31.303147221
Vuelta: 4.878846505 segundos;	Tiempo: 36.182054856
Vuelta: 4.504435361 segundos;	Tiempo: 40.686605308
Vuelta: 3.879836164 segundos;	Tiempo: 44.566502877
Vuelta: 4.238407793 segundos;	Tiempo: 48.804979146
Vuelta: 4.123367003 segundos;	Tiempo: 52.928420129
Vuelta: 4.567834955 segundos;	Tiempo: 57.496316756
Vuelta: 4.65064428 segundos;	Tiempo: 62.147053514
Vuelta: 5.661250964 segundos;	Tiempo: 67.808391666
Vuelta: 5.588595025 segundos;	Tiempo: 73.397093175
Vuelta: 5.07083766 segundos;	Tiempo: 78.468059401
Vuelta: 4.991981008 segundos;	Tiempo: 83.460102228
Vuelta: 7.416756566 segundos;	Tiempo: 90.876994401
Vuelta: 6.151077061 segundos;	Tiempo: 97.028803563
Vuelta: 8.257020076 segundos;	Tiempo: 105.285982778
Vuelta: 7.863140109 segundos;	Tiempo: 113.160613919
Vuelta: 6.153697693 segundos;	Tiempo: 119.31442185
Vuelta: 5.981052645 segundos;	Tiempo: 125.295594895
Vuelta: 6.124154432 segundos;	Tiempo: 131.419882686
Vuelta: 6.332964112 segundos;	Tiempo: 137.752978834
Vuelta: 6.438973868 segundos;	Tiempo: 144.192121055
Vuelta: 6.598847359 segundos;	Tiempo: 150.791092422
Vuelta: 6.782089041 segundos;	Tiempo: 157.5732607
Vuelta: 6.87958203 segundos;	Tiempo: 164.452964076
Vuelta: 6.988398676 segundos;	Tiempo: 171.441493423
Vuelta: 7.138779204 segundos;	Tiempo: 178.580412171
Vuelta: 7.421294297 segundos;	Tiempo: 186.00178425
Vuelta: 7.51301273 segundos;	Tiempo: 193.514915322
Vuelta: 7.689899521 segundos;	Tiempo: 201.205025038
Vuelta: 8.237454228 segundos;	Tiempo: 209.442556916
Vuelta: 8.06682718 segundos;	Tiempo: 217.509508553
Vuelta: 8.1214693 segundos;	Tiempo: 225.631161493
Vuelta: 8.384500811 segundos;	Tiempo: 234.015740851
Vuelta: 8.533867975 segundos;	Tiempo: 242.549747319
Vuelta: 8.604331444 segundos;	Tiempo: 251.154158644
Vuelta: 8.808189286 segundos;	Tiempo: 259.962467644
Vuelta: 9.071883587 segundos;	Tiempo: 269.03447087
Vuelta: 9.206458698 segundos;	Tiempo: 278.24106785
Vuelta: 9.266155464 segundos;	Tiempo: 287.507413301
Vuelta: 9.447012978 segundos;	Tiempo: 296.954519498
Vuelta: 9.662392952 segundos;	Tiempo: 306.617255607
Vuelta: 9.867777299 segundos;	Tiempo: 316.48519759
Vuelta: 10.143543766 segundos;	Tiempo: 326.628867217
Vuelta: 10.435005174 segundos;	Tiempo: 337.063999114
Vuelta: 10.339243175 segundos;	Tiempo: 347.403418261
Vuelta: 10.41613795 segundos;	Tiempo: 357.819712054
Vuelta: 10.688352643 segundos;	Tiempo: 368.508200878
Vuelta: 10.791191826 segundos;	Tiempo: 379.299768555
Vuelta: 10.91869846 segundos;	Tiempo: 390.21859622
Vuelta: 11.080902223 segundos;	Tiempo: 401.29959579
Vuelta: 11.319647435 segundos;	Tiempo: 412.619311317
