Vuelta: 0.225812476 segundos;	Tiempo: 0.22581428
Vuelta: 0.574561083 segundos;	Tiempo: 0.803518481
Vuelta: 0.803879536 segundos;	Tiempo: 1.607526109
Vuelta: 1.045909091 segundos;	Tiempo: 2.65350619
Vuelta: 1.34154424 segundos;	Tiempo: 3.99512171
Vuelta: 1.29610068 segundos;	Tiempo: 5.291331181
Vuelta: 1.460181882 segundos;	Tiempo: 6.751584142
Vuelta: 1.606026859 segundos;	Tiempo: 8.357681769
Vuelta: 1.756636766 segundos;	Tiempo: 10.114407478
Vuelta: 1.811579163 segundos;	Tiempo: 11.926049529
Vuelta: 0.23270021 segundos;	Tiempo: 0.232702315
Vuelta: 0.334676962 segundos;	Tiempo: 0.569922257
Vuelta: 0.536718648 segundos;	Tiempo: 1.106701964
Vuelta: 0.70974655 segundos;	Tiempo: 1.816508531
Vuelta: 0.854859126 segundos;	Tiempo: 2.671430619
Vuelta: 1.055794821 segundos;	Tiempo: 3.727322577
Vuelta: 1.241706096 segundos;	Tiempo: 4.969090963
Vuelta: 1.451754624 segundos;	Tiempo: 6.42097778
Vuelta: 1.660926524 segundos;	Tiempo: 8.082004287
Vuelta: 1.940187867 segundos;	Tiempo: 10.022254754
Vuelta: 0.277015336 segundos;	Tiempo: 0.277017202
Vuelta: 0.49883852 segundos;	Tiempo: 0.780290142
Vuelta: 0.769871837 segundos;	Tiempo: 1.550253483
Vuelta: 0.758878625 segundos;	Tiempo: 2.309249681
Vuelta: 0.880763491 segundos;	Tiempo: 3.190089381
Vuelta: 1.055990698 segundos;	Tiempo: 4.246168263
Vuelta: 1.287315141 segundos;	Tiempo: 5.533604954
Vuelta: 1.4424381 segundos;	Tiempo: 6.976114526
Vuelta: 1.660782695 segundos;	Tiempo: 8.637004179
Vuelta: 1.799174256 segundos;	Tiempo: 10.436267851
